Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Net Income,"1,098","1,625","1,511","1,946","2,237","1,846","1,885","1,525",784,217,
EPS,0.63,0.93,0.85,1.08,1.23,1.01,1.03,0.83,0.42,0.11,
BVPS,2.62,3.41,3.82,3.82,5.14,4.98,5.55,5.9,6.13,6.55,
FCFPS,0.94,0.11,-0.24,-0.56,0.09,-0.84,0.22,-0.58,-0.22,0.29,
Dividend,0.22,0.33,0.35,0.43,0.44,0.37,0.42,0.48,0.3,0.2,
Share count,"1,756","1,757","1,771","1,796","1,810","1,823","1,832","1,825","1,826","1,830",
,,,,,,,,,,,
In %,,,,,,,,,,,
Equity,31.49,41.05,37.45,35.73,37.22,37.21,38.15,39.5,40.82,41.45,
ST Debt,1.55,17.31,2.18,3.91,4.05,1.98,6.6,3.05,6.43,6.21,
LT Debt,11.95,6.3,20.43,19.67,24.97,25.25,20.53,26.35,25.27,22.04,
Year end SP,3.96,7.22,9.94,8.98,10.71,11.03,8.86,6.51,5.79,7.77,
