Year,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Net Income,Net Income CNY Mil,325,458,591,795,716,619,697,492,350,586
EPS,Earnings Per Share CNY,0.09,0.126,0.16,0.208,0.186,0.162,0.182,0.128,0.092,0.152
BVPS,Book Value Per Share * SGD,0.25,0.36,0.53,0.64,0.79,0.93,1.1,1.23,1.2,1.3
FCFPS,Free Cash Flow Per Share * SGD,0.026,0.024,0.036,0.014,0.012,-0.002,0.068,0.036,0.016,0.03
Dividend,Dividends SGD,0.026,0.016,0.034,0.048,0.054,0.048,0.048,0.05,0.044,0.04
Share count,Shares Mil,"3,500","3,653","3,701","3,836","3,832","3,832","3,832","3,832","3,832","3,878"
,,,,,,,,,,,
In %,,,,,,,,,,,
Equity,Total Stockholders' Equity,23.69,30.92,38.16,39.32,47.8,41.65,50.96,53.58,55.72,60.56
ST Debt,Short-Term Debt,2.69,4.44,3.48,18.32,10.7,28.64,13.87,5.43,6.33,5.92
LT Debt,Long-Term Debt,0,0,1.23,7.42,12.08,2.65,6.56,14.93,11.41,5.52
Year end SP,,0.47,1.21,1.91,0.91,1.01,1.17,1.21,1.1,0.81,1.51
